word,gender_pole,source,weat_set
JOHN,male,weat,weat-6
PAUL,male,weat,weat-6
MIKE,male,weat,weat-6
KEVIN,male,weat,weat-6
STEVE,male,weat,weat-6
GREG,male,weat,weat-6
JEFF,male,weat,weat-6
BILL,male,weat,weat-6
AMY,female,weat,weat-6
JOAN,female,weat,weat-6
LISA,female,weat,weat-6
SARAH,female,weat,weat-6
DIANA,female,weat,weat-6
KATE,female,weat,weat-6
ANN,female,weat,weat-6
DONNA,female,weat,weat-6
MALE,male,weat,weat-7
MAN,male,weat,weat-7
BOY,male,weat,weat-7
BROTHER,male,weat,weat-7
HE,male,weat,weat-7
HIM,male,weat,weat-7
HIS,male,weat,weat-7
SON,male,weat,weat-7
FEMALE,female,weat,weat-7
WOMAN,female,weat,weat-7
GIRL,female,weat,weat-7
SISTER,female,weat,weat-7
SHE,female,weat,weat-7
HER,female,weat,weat-7
HERS,female,weat,weat-7
DAUGHTER,female,weat,weat-7
BROTHER,male,weat,weat-8
FATHER,male,weat,weat-8
UNCLE,male,weat,weat-8
GRANDFATHER,male,weat,weat-8
SON,male,weat,weat-8
HE,male,weat,weat-8
HIS,male,weat,weat-8
HIM,male,weat,weat-8
SISTER,female,weat,weat-8
MOTHER,female,weat,weat-8
AUNT,female,weat,weat-8
GRANDMOTHER,female,weat,weat-8
DAUGHTER,female,weat,weat-8
SHE,female,weat,weat-8
HERS,female,weat,weat-8
HER,female,weat,weat-8
