word,zipf,dom_pos
a,7.3094,Article
aa,3.2363,Name
aaa,2.7068,Name
aah,4.7214,Interjection
aahed,1.5929,Verb
aahing,1.7690,Verb
aahs,2.0700,Noun
aal,1.5929,Adjective
aardvark,2.6343,Noun
aargh,2.8233,Interjection
aaron,4.1657,Name
aarrgh,1.5929,Verb
aarrghh,1.5929,Noun
aas,1.7690,Noun
ab,3.1726,Unclassified
aba,1.9908,Noun
abaca,1.5929,Noun
aback,2.4960,Adverb
abacus,2.4058,Noun
abacuses,1.5929,Noun
abaddon,2.3332,Noun
abaft,1.7690,Verb
abalone,2.7232,Verb
abalones,2.1369,Noun
abandon,3.9088,Verb
abandoned,4.1237,Verb
abandoner,1.5929,Noun
abandoning,3.2314,Verb
abandonment,2.9908,Noun
abandons,2.4679,Verb
abase,1.8939,Verb
abastard,1.5929,Noun
abate,2.0700,Verb
abated,1.9908,Verb
abatement,1.8939,Noun
abates,1.7690,Verb
abating,1.5929,Verb
abattoir,2.1949,Noun
abay,1.8939,Name
abb,1.8939,Name
abba,2.2918,Name
abbas,2.0700,Name
abbe,1.7690,Name
abbess,1.7690,Noun
abbesses,1.5929,Noun
abbey,3.5040,Noun
abbot,2.9353,Name
abbott,3.8961,Name
abbreviate,1.5929,Verb
abbreviated,2.5223,Adjective
abbreviation,2.4058,Noun
abbreviations,2.3332,Noun
abby,4.0967,Name
abc,3.3887,Name
abd,1.5929,Noun
abdicate,2.2918,Verb
abdicated,2.1949,Verb
abdicates,1.5929,Noun
abdicating,1.8939,Verb
abdication,2.1369,Noun
abdomen,3.5274,Noun
abdomens,1.8939,Noun
abdominal,3.5349,Adjective
abdominals,2.1949,Noun
abduct,2.8600,Verb
abducted,3.7001,Verb
abductee,2.6141,Noun
abductees,2.5706,Noun
abducting,2.5223,Verb
abduction,3.5613,Noun
abductions,2.9253,Noun
abductor,2.5706,Noun
abductors,2.3710,Noun
abducts,2.2461,Verb
abeam,2.1949,Noun
abed,2.3332,Adverb
abel,3.1307,Name
abele,1.5929,Noun
abend,2.2918,Noun
aberdeen,2.5471,Name
abernethy,1.5929,Name
aberrant,2.4960,Adjective
aberration,2.7542,Noun
aberrations,2.2461,Noun
abet,2.0700,Verb
abetted,2.2461,Verb
abetting,2.7232,Verb
abettor,1.5929,Noun
abeyance,1.7690,Noun
abhor,2.4058,Verb
abhorred,2.1949,Verb
abhorrent,2.2918,Adjective
abhors,1.9908,Verb
abide,3.4348,Verb
abided,1.8939,Verb
abiders,1.5929,Noun
abides,1.9908,Verb
abiding,2.7068,Adjective
abigail,3.4822,Name
abilene,3.1307,Name
abilities,3.7874,Noun
ability,4.2835,Noun
abiogenist,1.8939,Noun
abit,1.5929,Noun
abject,2.6141,Adjective
abjectly,1.8939,Adverb
abjure,1.5929,Verb
ablate,1.5929,Verb
ablated,1.5929,Verb
ablation,1.5929,Noun
ablaze,2.6343,Adjective
able,5.2033,Adjective
abler,1.5929,Adjective
ablest,1.7690,Adjective
abloom,1.8939,Verb
ablution,1.8939,Noun
ablutions,1.9908,Noun
ably,2.2918,Adverb
abner,3.5299,Name
abnormal,3.4650,Adjective
abnormalities,2.7068,Noun
abnormality,2.7232,Noun
abnormally,2.6141,Adverb
abnormity,1.5929,Noun
abo,2.1369,Noun
aboard,4.4251,Adverb
abode,2.8233,Noun
abogado,1.7690,Noun
abolish,2.6898,Verb
abolished,2.6141,Verb
abolishes,1.5929,Verb
abolishing,1.7690,Verb
abolition,2.3332,Noun
abolitionism,1.5929,Noun
abolitionist,2.3710,Noun
abolitionists,2.4380,Noun
abomasum,1.5929,Noun
abominable,2.8103,Adjective
abominably,2.2461,Adverb
abominate,1.8939,Verb
abomination,3.0627,Noun
abominations,2.1949,Noun
aboriginal,2.2918,Adjective
aboriginally,1.5929,Adverb
aboriginals,1.5929,Name
aborigine,1.9908,Noun
aborigines,2.2918,Noun
aborning,1.5929,Verb
abort,3.6647,Verb
aborted,2.8103,Verb
aborting,2.4380,Verb
abortion,3.8600,Noun
abortionist,1.9908,Noun
abortionists,1.5929,Noun
abortions,2.8481,Noun
abortive,1.5929,Adjective
abortively,1.5929,Adverb
aborts,1.5929,Verb
abound,2.5706,Verb
abounded,1.8939,Verb
abounding,1.9908,Verb
abounds,2.3332,Verb
about,6.5595,Preposition
abouts,2.2461,Adverb
above,4.6887,Preposition
aboveboard,2.4679,Noun
aboveground,2.1949,Adjective
abovementioned,1.5929,Adjective
abracadabra,3.0242,Noun
abrade,1.5929,Verb
abraded,2.0700,Verb
abraham,3.7151,Name
abraid,1.5929,Verb
abrasion,2.5706,Noun
abrasions,3.0477,Noun
