word,gender_category,word_kind,source,weat_set,specification
EXECUTIVE,male,common,weat,weat-6,gender-career
MANAGEMENT,male,common,weat,weat-6,gender-career
PROFESSIONAL,male,common,weat,weat-6,gender-career
CORPORATION,male,common,weat,weat-6,gender-career
SALARY,male,common,weat,weat-6,gender-career
OFFICE,male,common,weat,weat-6,gender-career
BUSINESS,male,common,weat,weat-6,gender-career
CAREER,male,common,weat,weat-6,gender-career
HOME,female,common,weat,weat-6,gender-career
PARENTS,female,common,weat,weat-6,gender-career
CHILDREN,female,common,weat,weat-6,gender-career
FAMILY,female,common,weat,weat-6,gender-career
COUSINS,female,common,weat,weat-6,gender-career
MARRIAGE,female,common,weat,weat-6,gender-career
WEDDING,female,common,weat,weat-6,gender-career
RELATIVES,female,common,weat,weat-6,gender-career
CHILDCARE,female,common,eige,,gender-career
CHORES,female,common,eige,,gender-career
HOUSEHOLD,female,common,eige,,gender-career
ROUTINE,female,common,eige,,gender-career
CLEANING,female,common,eurostat,,gender-career
EMPLOYMENT,male,common,eurostat,,gender-career
LAUNDRY,female,common,eurostat,,gender-career
COOKING,female,common,eurostat,,gender-career
IRONING,female,common,eurostat,,gender-career
CARE,female,common,eurostat,,gender-career
SOFTWARE,male,common,eurostat,,gender-career
DATA,male,common,eurostat,,gender-career
STRATEGY,male,common,eurostat,,gender-career
LEADERSHIP,male,common,eurostat,,gender-career
DEPENDENT,female,common,eurostat,,gender-career
ELDERLY,female,common,eurostat,,gender-career
NURTURE,female,common,own-criterion,,gender-career
DOMESTIC,female,common,own-criterion,,gender-career
WORK,male,common,own-criterion,,gender-career
JOB,male,common,own-criterion,,gender-career
PAY,male,common,own-criterion,,gender-career
TEAM,male,common,own-criterion,,gender-career
STAFF,male,common,own-criterion,,gender-career
DEAL,male,common,own-criterion,,gender-career
HIRE,male,common,own-criterion,,gender-career
