word,gender_category,word_kind,source,weat_set,specification
MATH,male,common,weat,weat-7,gender-science
ALGEBRA,male,common,weat,weat-7,gender-science
GEOMETRY,male,common,weat,weat-7,gender-science
CALCULUS,male,common,weat,weat-7,gender-science
EQUATIONS,male,common,weat,weat-7,gender-science
COMPUTATION,male,common,weat,weat-7,gender-science
NUMBERS,male,common,weat,weat-7,gender-science
ADDITION,male,common,weat,weat-7,gender-science
SCIENCE,male,common,weat,weat-8,gender-science
TECHNOLOGY,male,common,weat,weat-8,gender-science
PHYSICS,male,common,weat,weat-8,gender-science
CHEMISTRY,male,common,weat,weat-8,gender-science
EINSTEIN,male,proper,weat,weat-8,gender-science
NASA,male,proper,weat,weat-8,gender-science
EXPERIMENT,male,common,weat,weat-8,gender-science
ASTRONOMY,male,common,weat,weat-8,gender-science
POETRY,female,common,weat,weat-7,gender-science
ART,female,common,weat,weat-7,gender-science
DANCE,female,common,weat,weat-7,gender-science
LITERATURE,female,common,weat,weat-7,gender-science
NOVEL,female,common,weat,weat-7,gender-science
SYMPHONY,female,common,weat,weat-7,gender-science
DRAMA,female,common,weat,weat-7,gender-science
SCULPTURE,female,common,weat,weat-7,gender-science
POETRY,female,common,weat,weat-8,gender-science
ART,female,common,weat,weat-8,gender-science
SHAKESPEARE,female,proper,weat,weat-8,gender-science
DANCE,female,common,weat,weat-8,gender-science
LITERATURE,female,common,weat,weat-8,gender-science
NOVEL,female,common,weat,weat-8,gender-science
SYMPHONY,female,common,weat,weat-8,gender-science
DRAMA,female,common,weat,weat-8,gender-science
COMPUTING,male,common,she-figures,,gender-science
ENGINEERING,male,common,she-figures,,gender-science
CONSTRUCTION,male,common,she-figures,,gender-science
ARCHITECTURE,male,common,she-figures,,gender-science
STATISTICS,male,common,she-figures,,gender-science
MECHANICS,male,common,she-figures,,gender-science
ELECTRICITY,male,common,she-figures,,gender-science
ARMAMENT,male,common,she-figures,,gender-science
EDUCATION,female,common,she-figures,,gender-science
PEDAGOGY,female,common,she-figures,,gender-science
HEALTH,female,common,she-figures,,gender-science
WELLBEING,female,common,she-figures,,gender-science
MEDICINE,female,common,she-figures,,gender-science
HUMANITIES,female,common,she-figures,,gender-science
JOURNALISM,female,common,she-figures,,gender-science
SERVICE,female,common,she-figures,,gender-science
