word,gender_category,word_kind,source,weat_set,specification
ace,neutral,common,duet,,
anchor,neutral,common,duet,,
ant,neutral,common,duet,,
anthem,neutral,common,duet,,
apron,neutral,common,duet,,
armor,neutral,common,duet,,
army,neutral,common,duet,,
astronaut,neutral,common,duet,,
attic,neutral,common,duet,,
avalanche,neutral,common,duet,,
axe,neutral,common,duet,,
bacon,neutral,common,duet,,
balloon,neutral,common,duet,,
banana,neutral,common,duet,,
barbecue,neutral,common,duet,,
bass,neutral,common,duet,,
bath,neutral,common,duet,,
battle,neutral,common,duet,,
battleship,neutral,common,duet,,
bay,neutral,common,duet,,
beam,neutral,common,duet,,
bean,neutral,common,duet,,
beard,neutral,common,duet,,
bee,neutral,common,duet,,
beer,neutral,common,duet,,
bench,neutral,common,duet,,
bicycle,neutral,common,duet,,
bikini,neutral,common,duet,,
biscuit,neutral,common,duet,,
blacksmith,neutral,common,duet,,
blade,neutral,common,duet,,
blind,neutral,common,duet,,
blizzard,neutral,common,duet,,
blues,neutral,common,duet,,
boil,neutral,common,duet,,
bonsai,neutral,common,duet,,
book,neutral,common,duet,,
boss,neutral,common,duet,,
bowl,neutral,common,duet,,
bowler,neutral,common,duet,,
boxer,neutral,common,duet,,
brain,neutral,common,duet,,
brass,neutral,common,duet,,
bread,neutral,common,duet,,
break,neutral,common,duet,,
brick,neutral,common,duet,,
bubble,neutral,common,duet,,
bucket,neutral,common,duet,,
bulb,neutral,common,duet,,
bunk,neutral,common,duet,,
butter,neutral,common,duet,,
butterfly,neutral,common,duet,,
cable,neutral,common,duet,,
cake,neutral,common,duet,,
camp,neutral,common,duet,,
cane,neutral,common,duet,,
captain,neutral,common,duet,,
castle,neutral,common,duet,,
cave,neutral,common,duet,,
chain,neutral,common,duet,,
chalk,neutral,common,duet,,
cheese,neutral,common,duet,,
cherry,neutral,common,duet,,
chip,neutral,common,duet,,
christmas,neutral,common,duet,,
clock,neutral,common,duet,,
cloud,neutral,common,duet,,
coach,neutral,common,duet,,
coast,neutral,common,duet,,
coffee,neutral,common,duet,,
collar,neutral,common,duet,,
comb,neutral,common,duet,,
comet,neutral,common,duet,,
computer,neutral,common,duet,,
cone,neutral,common,duet,,
crab,neutral,common,duet,,
craft,neutral,common,duet,,
crow,neutral,common,duet,,
crusader,neutral,common,duet,,
crystal,neutral,common,duet,,
cuckoo,neutral,common,duet,,
curry,neutral,common,duet,,
dash,neutral,common,duet,,
delta,neutral,common,duet,,
dentist,neutral,common,duet,,
desk,neutral,common,duet,,
director,neutral,common,duet,,
disk,neutral,common,duet,,
doll,neutral,common,duet,,
dollar,neutral,common,duet,,
drawing,neutral,common,duet,,
dream,neutral,common,duet,,
dressing,neutral,common,duet,,
driver,neutral,common,duet,,
drone,neutral,common,duet,,
drum,neutral,common,duet,,
dryer,neutral,common,duet,,
dust,neutral,common,duet,,
ear,neutral,common,duet,,
earth,neutral,common,duet,,
earthquake,neutral,common,duet,,
easter,neutral,common,duet,,
egg,neutral,common,duet,,
farm,neutral,common,duet,,
fever,neutral,common,duet,,
fiddle,neutral,common,duet,,
flag,neutral,common,duet,,
flat,neutral,common,duet,,
flood,neutral,common,duet,,
floor,neutral,common,duet,,
foam,neutral,common,duet,,
fog,neutral,common,duet,,
frog,neutral,common,duet,,
fuel,neutral,common,duet,,
gangster,neutral,common,duet,,
gear,neutral,common,duet,,
genie,neutral,common,duet,,
glacier,neutral,common,duet,,
glasses,neutral,common,duet,,
goat,neutral,common,duet,,
golf,neutral,common,duet,,
governor,neutral,common,duet,,
greenhouse,neutral,common,duet,,
guitar,neutral,common,duet,,
gum,neutral,common,duet,,
gymnast,neutral,common,duet,,
hair,neutral,common,duet,,
halloween,neutral,common,duet,,
hamburger,neutral,common,duet,,
hammer,neutral,common,duet,,
helmet,neutral,common,duet,,
hide,neutral,common,duet,,
hit,neutral,common,duet,,
hose,neutral,common,duet,,
house,neutral,common,duet,,
igloo,neutral,common,duet,,
ink,neutral,common,duet,,
jail,neutral,common,duet,,
jellyfish,neutral,common,duet,,
jeweler,neutral,common,duet,,
jockey,neutral,common,duet,,
joker,neutral,common,duet,,
judge,neutral,common,duet,,
jumper,neutral,common,duet,,
kick,neutral,common,duet,,
kilt,neutral,common,duet,,
kiss,neutral,common,duet,,
kitchen,neutral,common,duet,,
knot,neutral,common,duet,,
lace,neutral,common,duet,,
ladder,neutral,common,duet,,
leather,neutral,common,duet,,
lemonade,neutral,common,duet,,
letter,neutral,common,duet,,
lightning,neutral,common,duet,,
lip,neutral,common,duet,,
locust,neutral,common,duet,,
love,neutral,common,duet,,
lumberjack,neutral,common,duet,,
lunch,neutral,common,duet,,
magazine,neutral,common,duet,,
magician,neutral,common,duet,,
makeup,neutral,common,duet,,
manicure,neutral,common,duet,,
map,neutral,common,duet,,
maracas,neutral,common,duet,,
marathon,neutral,common,duet,,
medic,neutral,common,duet,,
memory,neutral,common,duet,,
mess,neutral,common,duet,,
meter,neutral,common,duet,,
microwave,neutral,common,duet,,
mile,neutral,common,duet,,
milk,neutral,common,duet,,
mill,neutral,common,duet,,
minute,neutral,common,duet,,
mirror,neutral,common,duet,,
mohawk,neutral,common,duet,,
monkey,neutral,common,duet,,
mosquito,neutral,common,duet,,
mountie,neutral,common,duet,,
mud,neutral,common,duet,,
musketeer,neutral,common,duet,,
mustard,neutral,common,duet,,
nerve,neutral,common,duet,,
nose,neutral,common,duet,,
nylon,neutral,common,duet,,
oasis,neutral,common,duet,,
onion,neutral,common,duet,,
pad,neutral,common,duet,,
paddle,neutral,common,duet,,
page,neutral,common,duet,,
paint,neutral,common,duet,,
parade,neutral,common,duet,,
parrot,neutral,common,duet,,
patient,neutral,common,duet,,
pea,neutral,common,duet,,
peach,neutral,common,duet,,
peanut,neutral,common,duet,,
pen,neutral,common,duet,,
penny,neutral,common,duet,,
pepper,neutral,common,duet,,
pew,neutral,common,duet,,
pig,neutral,common,duet,,
pillow,neutral,common,duet,,
pine,neutral,common,duet,,
pizza,neutral,common,duet,,
pocket,neutral,common,duet,,
polish,neutral,common,duet,,
polo,neutral,common,duet,,
popcorn,neutral,common,duet,,
potato,neutral,common,duet,,
powder,neutral,common,duet,,
puppet,neutral,common,duet,,
purse,neutral,common,duet,,
quack,neutral,common,duet,,
quarter,neutral,common,duet,,
radio,neutral,common,duet,,
rail,neutral,common,duet,,
rainbow,neutral,common,duet,,
ram,neutral,common,duet,,
ranch,neutral,common,duet,,
rat,neutral,common,duet,,
razor,neutral,common,duet,,
record,neutral,common,duet,,
reindeer,neutral,common,duet,,
rice,neutral,common,duet,,
rifle,neutral,common,duet,,
rip,neutral,common,duet,,
river,neutral,common,duet,,
road,neutral,common,duet,,
rodeo,neutral,common,duet,,
roll,neutral,common,duet,,
rope,neutral,common,duet,,
rubber,neutral,common,duet,,
rust,neutral,common,duet,,
sack,neutral,common,duet,,
saddle,neutral,common,duet,,
sail,neutral,common,duet,,
salad,neutral,common,duet,,
saloon,neutral,common,duet,,
salsa,neutral,common,duet,,
salt,neutral,common,duet,,
sand,neutral,common,duet,,
saw,neutral,common,duet,,
scarecrow,neutral,common,duet,,
scratch,neutral,common,duet,,
scroll,neutral,common,duet,,
